h,config,mol,sol_idx,sizes,angle_deg,n_radicals,clar_number,n_kekule,viewer_url
h6,no-freeze_no-table,2-8-9-14-15-16,42,7_5_5_5_7_7,0.0281,2,0,3,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-8-9-14-15-16&sol=42
h6,no-table,0-7-8-14-15-16,33,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=no-table&mol=0-7-8-14-15-16&sol=33
h6,no-freeze_no-table,0-7-8-14-15-16,33,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=0-7-8-14-15-16&sol=33
h6,adj-57_no-table,0-7-8-14-15-16,21,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=0-7-8-14-15-16&sol=21
h6,adj-57_no-freeze_no-table,0-7-8-14-15-16,21,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=0-7-8-14-15-16&sol=21
h6,no-table,0-7-8-15-16-23,53,7_5_5_6_6_7,0.0661,2,2,49,http://127.0.0.1:8765/?h=h6&config=no-table&mol=0-7-8-15-16-23&sol=53
h6,no-freeze_no-table,0-7-8-15-16-23,53,7_5_5_6_6_7,0.0661,2,2,49,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=0-7-8-15-16-23&sol=53
h6,no-freeze_no-table,2-3-7-8-9-10,53,7_7_5_5_5_7,0.0928,2,1,5,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-10&sol=53
h6,no-table,0-7-8-14-15-16,31,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=no-table&mol=0-7-8-14-15-16&sol=31
h6,no-freeze_no-table,0-7-8-14-15-16,31,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=0-7-8-14-15-16&sol=31
h6,adj-57_no-table,0-7-8-14-15-16,17,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=0-7-8-14-15-16&sol=17
h6,adj-57_no-freeze_no-table,0-7-8-14-15-16,17,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=0-7-8-14-15-16&sol=17
h6,no-freeze_no-table,2-8-9-14-15-16,33,6_7_5_5_6_7,0.1135,2,1,5,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-8-9-14-15-16&sol=33
h6,no-table,2-3-7-8-9-10,8,7_6_6_5_5_7,0.1328,2,1,3,http://127.0.0.1:8765/?h=h6&config=no-table&mol=2-3-7-8-9-10&sol=8
h6,no-freeze_no-table,2-3-7-8-9-10,79,7_6_6_5_5_7,0.1328,2,1,3,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-10&sol=79
h6,no-freeze_no-table,2-3-7-8-9-10,80,6_7_6_5_5_7,0.2028,2,2,5,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-10&sol=80
h6,no-table,2-8-9-14-15-16,6,7_6_5_5_6_7,0.5699,2,0,3,http://127.0.0.1:8765/?h=h6&config=no-table&mol=2-8-9-14-15-16&sol=6
h6,no-freeze_no-table,2-8-9-14-15-16,41,7_6_5_5_6_7,0.5699,2,0,3,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-8-9-14-15-16&sol=41
h6,no-freeze_no-table,1-7-8-15-16-23,79,6_7_5_5_7_6,0.0312,1,2,66,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-23&sol=79
h6,adj-57_no-freeze_no-table,1-7-8-15-16-23,29,6_7_5_5_7_6,0.0312,1,2,66,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-15-16-23&sol=29
h6,no-table,2-7-8-9-15-16,20,6_5_7_6_7_5,0.0328,1,1,55,http://127.0.0.1:8765/?h=h6&config=no-table&mol=2-7-8-9-15-16&sol=20
h6,no-freeze_no-table,2-7-8-9-15-16,107,6_5_7_6_7_5,0.0328,1,1,55,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-7-8-9-15-16&sol=107
h6,no-freeze_no-table,3-7-8-9-10-16,103,7_5_7_6_6_5,0.0431,1,1,53,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=3-7-8-9-10-16&sol=103
h6,no-freeze_no-table,2-7-8-9-15-16,32,5_7_7_5_6_6,0.0448,1,2,91,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-7-8-9-15-16&sol=32
h6,adj-57_no-freeze_no-table,2-7-8-9-15-16,10,5_7_7_5_6_6,0.0448,1,2,91,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-7-8-9-15-16&sol=10
h6,no-table,1-7-8-15-16-23,22,6_6_6_6_7_5,0.0455,1,2,93,http://127.0.0.1:8765/?h=h6&config=no-table&mol=1-7-8-15-16-23&sol=22
h6,no-freeze_no-table,1-7-8-15-16-23,77,6_6_6_6_7_5,0.0455,1,2,93,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-23&sol=77
h6,adj-57_no-table,1-7-8-15-16-23,5,6_6_6_6_7_5,0.0455,1,2,93,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=1-7-8-15-16-23&sol=5
h6,adj-57_no-freeze_no-table,1-7-8-15-16-23,34,6_6_6_6_7_5,0.0455,1,2,93,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-15-16-23&sol=34
h6,no-table,1-7-8-14-15-22,20,6_5_6_7_7_5,0.0476,1,1,65,http://127.0.0.1:8765/?h=h6&config=no-table&mol=1-7-8-14-15-22&sol=20
h6,no-freeze_no-table,1-7-8-14-15-22,60,6_5_6_7_7_5,0.0476,1,1,65,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=60
h6,no-freeze_no-table,1-7-8-14-15-22,133,6_6_7_6_6_5,0.0518,1,2,76,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=133
h6,adj-57_no-freeze_no-table,1-7-8-14-15-22,29,6_6_7_6_6_5,0.0518,1,2,76,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-14-15-22&sol=29
h6,no-freeze_no-table,1-7-8-15-16-23,69,6_7_5_5_6_7,0.0543,1,2,71,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-23&sol=69
h6,adj-57_no-freeze_no-table,1-7-8-15-16-23,26,6_7_5_5_6_7,0.0543,1,2,71,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-15-16-23&sol=26
h6,no-freeze_no-table,2-7-8-9-15-16,84,7_7_5_7_5_5,0.0549,1,0,61,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-7-8-9-15-16&sol=84
h6,no-freeze,2-7-8-9-15-16,15,7_7_5_7_5_5,0.0549,1,0,61,http://127.0.0.1:8765/?h=h6&config=no-freeze&mol=2-7-8-9-15-16&sol=15
h6,adj-57_no-freeze_no-table,2-7-8-9-15-16,35,7_7_5_7_5_5,0.0549,1,0,61,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-7-8-9-15-16&sol=35
h6,adj-57_no-freeze,2-7-8-9-15-16,7,7_7_5_7_5_5,0.0549,1,0,61,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze&mol=2-7-8-9-15-16&sol=7
h6,no-table,2-7-8-9-15-16,46,6_7_5_6_6_6,0.0598,1,2,81,http://127.0.0.1:8765/?h=h6&config=no-table&mol=2-7-8-9-15-16&sol=46
h6,no-freeze_no-table,2-7-8-9-15-16,127,6_7_5_6_6_6,0.0598,1,2,81,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-7-8-9-15-16&sol=127
h6,adj-57_no-table,2-7-8-9-15-16,14,6_7_5_6_6_6,0.0598,1,2,81,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=2-7-8-9-15-16&sol=14
h6,adj-57_no-freeze_no-table,2-7-8-9-15-16,22,6_7_5_6_6_6,0.0598,1,2,81,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-7-8-9-15-16&sol=22
h6,no-freeze_no-table,2-9-14-15-16-23,126,6_7_5_5_6_7,0.0601,1,2,72,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-9-14-15-16-23&sol=126
h6,no-table,1-7-8-14-15-22,34,6_6_6_7_6_5,0.0603,1,2,81,http://127.0.0.1:8765/?h=h6&config=no-table&mol=1-7-8-14-15-22&sol=34
h6,no-freeze_no-table,1-7-8-14-15-22,54,6_6_6_7_6_5,0.0603,1,2,81,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=54
h6,no-freeze_no-table,2-3-7-8-9-16,1,5_5_5_7_7_7,0.0611,1,0,63,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-16&sol=1
h6,no-table,1-7-8-15-16-23,33,6_6_6_5_6_7,0.0619,1,2,65,http://127.0.0.1:8765/?h=h6&config=no-table&mol=1-7-8-15-16-23&sol=33
h6,no-freeze_no-table,1-7-8-15-16-23,75,6_6_6_5_6_7,0.0619,1,2,65,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-23&sol=75
h6,no-freeze_no-table,1-7-8-14-15-22,21,5_7_5_6_7_6,0.0627,1,2,86,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=21
